"","INSTNM","CITY","STABBR","PREDDEG","HIGHDEG","CONTROL","region","UGDS","UG","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","place"
"166","Coppin State University","Baltimore","MD",3,4,1,"EAST",2880,NA,16147,6252,11186,"West"
"167","Frostburg State University","Frostburg","MD",3,4,1,"EAST",4575,NA,19454,7728,18376,"West"
"168","University of Maryland-University College","Adelphi","MD",3,4,1,"EAST",26006,NA,13222,6552,12336,"West"
"169","University of Maryland-Baltimore County","Baltimore","MD",3,4,1,"EAST",11012,NA,22024,10068,21642,"West"
"170","University of Maryland-College Park","College Park","MD",3,4,1,"EAST",26045,NA,22933,9162,28348,"West"
"171","University of Maryland Eastern Shore","Princess Anne","MD",3,4,1,"EAST",3421,NA,20587,6998,15504,"West"
"172","Morgan State University","Baltimore","MD",3,4,1,"EAST",6197,NA,20108,7218,16632,"West"
"173","Salisbury University","Salisbury","MD",3,4,1,"EAST",7767,NA,20916,8128,16474,"West"
"174","St Mary's College of Maryland","St. Mary's City","MD",3,4,1,"EAST",1794,NA,29174,14864,28664,"West"
"175","Towson University","Towson","MD",3,4,1,"EAST",18534,NA,21596,8342,20020,"West"
"176","Bridgewater State University","Bridgewater","MA",3,4,1,"EAST",9489,NA,19303,8053,14193,"West"
"177","Fitchburg State University","Fitchburg","MA",3,4,1,"EAST",4148,NA,17686,8985,15065,"West"
"178","Framingham State University","Framingham","MA",3,4,1,"EAST",4255,NA,21402,8080,14160,"West"
"179","University of Massachusetts-Lowell","Lowell","MA",3,4,1,"EAST",11830,NA,22861,12097,26146,"West"
"180","University of Massachusetts-Amherst","Amherst","MA",3,4,1,"EAST",21672,NA,25665,13443,28159,"West"
"181","University of Massachusetts-Boston","Boston","MA",3,4,1,"EAST",11786,NA,19763,11966,27430,"West"
"182","Massachusetts College of Art and Design","Boston","MA",3,4,1,"EAST",1861,NA,25384,10400,28600,"West"
"183","Massachusetts Maritime Academy","Buzzards Bay","MA",3,4,1,"EAST",1362,NA,22420,7127,22033,"West"
"184","Massachusetts College of Liberal Arts","North Adams","MA",3,4,1,"EAST",1483,NA,20025,8525,17470,"West"
"185","Salem State University","Salem","MA",3,4,1,"EAST",7134,NA,20601,8130,14270,"West"
"186","University of Massachusetts-Dartmouth","North Dartmouth","MA",3,4,1,"EAST",7202,NA,23763,11681,24156,"West"
"187","Westfield State University","Westfield","MA",3,4,1,"EAST",5524,NA,19468,8694,14774,"West"
"188","Worcester State University","Worcester","MA",3,4,1,"EAST",5033,NA,18494,8157,14237,"West"
"189","Central Michigan University","Mount Pleasant","MI",3,4,1,"EAST",20070,NA,21523,11220,23670,"West"
"190","Eastern Michigan University","Ypsilanti","MI",3,4,1,"EAST",18543,NA,18905,9364,24909,"West"
"191","Ferris State University","Big Rapids","MI",3,4,1,"EAST",12646,NA,21498,10466,16722,"West"
"192","Grand Valley State University","Allendale","MI",3,4,1,"EAST",21137,NA,21512,10716,15388,"West"
"193","Lake Superior State University","Sault Ste Marie","MI",3,4,1,"EAST",2299,NA,19571,9960,14880,"West"
"194","University of Michigan-Ann Arbor","Ann Arbor","MI",3,4,1,"EAST",28077,NA,25760,13142,40392,"West"
"195","Michigan State University","East Lansing","MI",3,4,1,"EAST",37622,NA,23740,12862,33750,"West"
"196","Michigan Technological University","Houghton","MI",3,4,1,"EAST",5536,NA,24724,13728,28608,"West"
"197","University of Michigan-Dearborn","Dearborn","MI",3,4,1,"EAST",6793,NA,15831,10614,23124,"West"
"198","University of Michigan-Flint","Flint","MI",3,4,1,"EAST",6746,NA,16731,9356,18238,"West"
"199","Northern Michigan University","Marquette","MI",3,4,1,"EAST",7959,NA,18466,9037,14113,"West"
"200","Oakland University","Rochester Hills","MI",3,4,1,"EAST",16113,NA,19198,10613,23873,"West"
"201","Saginaw Valley State University","University Center","MI",3,4,1,"EAST",8687,NA,17876,8423,19776,"West"
"202","Wayne State University","Detroit","MI",3,4,1,"EAST",17789,NA,20199,11094,23714,"West"
"203","Western Michigan University","Kalamazoo","MI",3,4,1,"EAST",18755,NA,22483,10355,24109,"West"
"204","Bemidji State University","Bemidji","MN",3,4,1,"WEST",4397,NA,18166,8124,8124,"West"
"205","Minnesota State University-Mankato","Mankato","MN",3,4,1,"WEST",12542,NA,17578,7557,15036,"West"
"206","Metropolitan State University","Saint Paul","MN",3,4,1,"WEST",7322,NA,18170,6642,13227,"West"
"207","University of Minnesota-Twin Cities","Minneapolis","MN",3,4,1,"WEST",30271,NA,24278,13555,19805,"West"
"208","University of Minnesota-Duluth","Duluth","MN",3,4,1,"WEST",9239,NA,22796,12815,16480,"West"
"209","Minnesota State University-Moorhead","Moorhead","MN",3,4,1,"WEST",5912,NA,18028,7816,14714,"West"
"210","Saint Cloud State University","Saint Cloud","MN",3,4,1,"WEST",11535,NA,17892,7514,15156,"West"
"211","Southwest Minnesota State University","Marshall","MN",3,4,1,"WEST",2426,NA,19109,8074,8074,"West"
"212","Winona State University","Winona","MN",3,4,1,"WEST",8079,NA,20449,8730,14230,"West"
"213","Alcorn State University","Alcorn State","MS",3,4,1,"EAST",3157,NA,20330,6108,6108,"West"
"214","Delta State University","Cleveland","MS",3,4,1,"EAST",2638,NA,17749,6562,6562,"West"
"215","Jackson State University","Jackson","MS",3,4,1,"EAST",6880,NA,18724,6348,15552,"West"
"216","University of Mississippi","University","MS",3,4,1,"EAST",16432,NA,21526,6760,17728,"West"
"217","Mississippi University for Women","Columbus","MS",3,4,1,"EAST",2252,NA,15935,5640,15360,"West"
"218","Mississippi Valley State University","Itta Bena","MS",3,4,1,"EAST",1856,NA,17758,5916,5916,"West"
"219","Mississippi State University","Mississippi State","MS",3,4,1,"EAST",16399,NA,20796,6772,16960,"West"
"220","University of Southern Mississippi","Hattiesburg","MS",3,4,1,"EAST",12371,NA,18781,6744,15024,"West"
"221","University of Central Missouri","Warrensburg","MO",3,4,1,"WEST",9160,NA,18355,7265,13659,"West"
"222","Lincoln University","Jefferson City","MO",3,4,1,"WEST",2268,NA,14906,6838,13228,"West"
"223","Missouri Southern State University","Joplin","MO",3,4,1,"WEST",5132,NA,14143,5376,10225,"West"
"224","Missouri Western State University","Saint Joseph","MO",3,4,1,"WEST",4902,NA,15242,6400,12006,"West"
